At The Intersection Of Francis Street And Wembley Avenue Yarraville (Eastbound) - Lane 1 2 3|3261|841051|-37.819284|144.873928|X8BWC5lpUlA|NA|0
At The Intersection Of Frankston Freeway Off Ramp And Dandenong-Frankston Road Seaford - Lane 1 2 3|733|212369|-38.128065|145.133934|DrzjRcd5zvE|NA|0
At The Intersection Of Gaffney Street And Sydney Road Coburg - Lane 1 2 3|1688|667217|-37.734109|144.965822|QjEg8mz0_2Y|NA|0
At The Intersection Of Geelong Road And Droop Street Footscray - Lane 1 2 3 4|16155|3798527|-37.796538|144.896563|TTGcSm4XQCk|NA|0
At The Intersection Of Geelong Street And Geelong Road Kingsville - Lane 1 2 3|1020|409559|-37.804378|144.883022|b-ryB-CdcBU|NA|0
At The Intersection Of Gilbert Road And Bell Street Preston - Lane 1 2|757|202459|-37.743471|144.98935|FZ5CUeeTemQ|NA|0
At The Intersection Of Gilbert Road And Murray Road Preston - Wet Film|393|156819|-37.736486|144.990367|07PhkMWwo6A|NA|0
At The Intersection Of Gladstone Road And Heatherton Road Dandenong North - Lane 1 2 3|964|372420|-37.968601|145.205206|AjiBhn24Kh0|NA|0
At The Intersection Of Glen Eira Road And Kooyong Road Caulfield - Lane 1 2 3|653|240308|-37.879258|145.016717|a5voj7a05U0|NA|0
At The Intersection Of Glen Eira Road And Kooyong Road Caulfield - Wet Film|248|98605|-37.879032|145.016048|43viT4E_8iM|NA|0
At The Intersection Of Glen Iris Road And Toorak Road Camberwell - Lane 1 2 3|0|0|-37.84722|145.0686|UNAqiLA9Xms|NA|0
At The Intersection Of Glenferrie Road And Burwood Road Hawthorn - Lane 1|483|172468|-37.822907|145.03522|f__WQq7BABg|NA|0
At The Intersection Of Glenferrie Road And Wellington Street Kew - Wet Film|106|43167|-37.810212|145.037579|4dDF-Fj7hoc|NA|0
At The Intersection Of Gordon Street And Barkly Street Footscray - Lane 1 2|1055|370763|-37.798819|144.888078|9z4gCrvQutQ|NA|0
At The Intersection Of Greensborough Highway And Grimshaw Street Greensborough - Lane 1 2 3 4|981|364973|-37.703012|145.089863|qecaRZsOKBs|NA|6500
At The Intersection Of Greensborough Highway And Grimshaw Street Watsonia - Lane 1 2 3 4|1386|512927|-37.703352|145.089563|MI0T2mNXUDc|NA|145
At The Intersection Of Grimshaw Street And Macorna Street Watsonia North - Lane 1 2 3|2286|769642|-37.70241|145.08378|8wmott-blk0|NA|0
At The Intersection Of Hall Road And Dandenong-Frankston Road Carrum Downs - Lane 1 2 3|1099|422150|-38.099709|145.17316|evABF9g46S8|NA|0
At The Intersection Of Hallam Road And Fordholm Road Hampton Park - Lane 1 2 34|3780|980798|-38.036135|145.267173|mGgB2BVq-3s|NA|0
At The Intersection Of Harding Street And Sydney Road Coburg - Wet Film|167|67323|-37.7451|144.966283|LWh-zhk-bnM|NA|0
At The Intersection Of Harp Road And Burke Road Kew East - Lane 1 2 3|254|95240|-37.800674|145.06222|X7D8-pg37rI|NA|0
At The Intersection Of Hawthorn Road And Inkerman Road Caulfield North - Lane 1|28|11088|-37.869363|145.025451|l3-AD8cjd18|NA|0
At The Intersection Of Heatherton Road And Corrigan Road Noble Park - Lane 1 2 3|880|287976|-37.964541|145.16895|JK-5vuwtf_0|NA|0
At The Intersection Of Heatherton Road And Monash Freeway Doveton - Lane 1 2 3 4|349|106457|-37.97263|145.237087|Iy5VZ-Z5iQA|NA|0
At The Intersection Of Heatherton Road And Monash Freeway Endeavour Hills - Lane 1 2 3|1121|407010|-37.972426|145.23779|98Vv3f4pr0g|NA|0
At The Intersection Of Heidelberg Road And Station Street Fairfield - Wet Film|162|64549|-37.783444|145.017814|AhYB9uh1jnY|NA|0
At The Intersection Of High Street And Don Street Bendigo - Lane 1 2 3|922|273066|-36.763648|144.270187|VCeMT32ARJE|NA|4663
At The Intersection Of High Street And Verene Avenue Templestowe Lower - Lane 1 2|1322|393959|-37.768144|145.118288|m6pPb3KZf8o|NA|0
At The Intersection Of High Street Road And Huntingdale Road Mount Waverley - Lane 1 2 3|1120|273052|-37.868034|145.112086|ZhAM0SAkhJU|NA|0
At The Intersection Of High Street Road And Stephensons Road Mount Waverley - Wet Film|168|67322|-37.870184|145.130321|CVT89DWEbsA|NA|0
At The Intersection Of High Street Road And Stud Road Wantirna South - Lane 1 2|28|8635|-37.876951|145.232673|HcTjEFTDg5k|NA|0
At The Intersection Of High Street Road And Stud Road Wantirna South - Lane 3 4 5|700|277684|-37.87688|145.232671|HcTjEFTDg5k|NA|0
At The Intersection Of Highbury Road And Huntingdale Road Mount Waverley - Lane 1 2|613|150577|-37.855624|145.114369|4AUndOd6Z80|NA|0
At The Intersection Of Hoddle Street And Johnston Street Collingwood - Lane 1 2 3|138|43292|-37.800162|144.992759|qOUkWMjRDec|NA|0
At The Intersection Of Hoddle Street And Johnston Street Collingwood - Lane 4 5 6|254|79295|-37.800102|144.992968|qOUkWMjRDec|NA|0
At The Intersection Of Hoddle Street And Victoria Parade East Melbourne - Lane 123|17|6694|-37.810328|144.99107|tRdJ95nTjRE|NA|0
At The Intersection Of Hoddle Street And Victoria Parade East Melbourne - Lane 4 5|101|40592|-37.810188|144.991283|tRdJ95nTjRE|NA|0
At The Intersection Of Hoddle Street And Victoria Street Abbotsford - Lane 1 2|342|133934|-37.809418|144.991581|I2t3DBPHhi8|NA|0
At The Intersection Of Hoddle Street And Victoria Street Abbotsford - Lane 3 4 5 6|988|393197|-37.809327|144.991394|I2t3DBPHhi8|NA|0
At The Intersection Of Hoddle Street And Wellington Parade East Melbourne - Lane 1 2 3|229|79447|-37.817739|144.989705|XBKwNpC_OGQ|NA|0
At The Intersection Of Hoddle Street And Wellington Parade East Melbourne - Lane 4 5|3213|1281876|-37.817807|144.989893|XBKwNpC_OGQ|NA|0
At The Intersection Of Hotham Street And Balaclava Road St Kilda East - Lane 1 2 3|460|152358|-37.869248|144.999594|7l02-AlmKSY|NA|0
At The Intersection Of Hume Highway And Somerton Road Campbellfield - Lane 1 2 3|766|202754|-37.643819|144.951086|fyCWYSwhQPE|NA|0
At The Intersection Of Hume Highway And Somerton Road Campbellfield - Lane 4 5|140|57902|-37.643801|144.951376|fyCWYSwhQPE|NA|0
At The Intersection Of Johnston Street And Hoddle Street Collingwood - Lane 2 3|36|14256|-37.799721|144.992526|uaRmzNEVxXc|NA|0
At The Intersection Of Johnston Street And Wellington Street Collingwood - Lane 1 2 3|3489|1393157|-37.799167|144.986972|S5gJ9gQyWdw|NA|0
At The Intersection Of King Street And Hawke Street West Melbourne Lane - 1 2 3 4|1173|357142|-37.8056|144.948812|RjSHTG1WGIo|NA|0
At The Intersection Of King Street And La Trobe Street West Melbourne Lane - 1 2 3 4|22674|5465146|-37.81229|144.953914|cBGiDsaV-jQ|NA|0
At The Intersection Of Kings Road And Melton Highway Taylors Lakes - Lane 1 2 3 4|1980|501437|-37.697781|144.780914|N|NA|0
At The Intersection Of Kings Way And Park Street South Melbourne - Lane 1 2 3 4|67|14694|-37.833003|144.967637|N6YOwuCt4F4|NA|0
At The Intersection Of Kooyong Road And Malvern Road Armadale - Wet Film|195|78014|-37.850684|145.021374|4qIKbmtXln4|NA|0
At The Intersection Of Latrobe Street And Spencer Street West Melbourne - Lane 1 2|768|270720|-37.813182|144.950975|ydAmj1RmZN8|NA|0
At The Intersection Of Latrobe Terrace And Fyans Street South Geelong - Lane 1 2 3 4|2275|740829|-38.160266|144.350338|lHqyPm6BZiM|NA|0
